treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,HOK,SEK,2,5,5,1A,30,0.512,1.749679624,1.369073046,590
AB,HOK,HOK,SEK,2,5,5,1B,30,0.657,2.245194361,1.864587783,590
P,SEK,HOK,SEK,2,5,5,1C,30,0.671,2.293037164,1.912430585,590
AB,SEK,HOK,SEK,2,5,5,1D,30,0.45,1.537804357,1.157197779,590
P,SEK,SEK,SEK,2,5,5,1E,30,1.488,5.085006408,4.704399829,590
AB,SEK,SEK,SEK,2,5,5,1F,30,0.355,1.213156771,0.832550192,590
P,HOK,SEK,SEK,2,5,5,1G,30,0.687,2.347714652,1.967108073,590
AB,HOK,SEK,SEK,2,5,5,1H,30,1.009,3.448099103,3.067492525,590
P,HOK,HOK,SEK,2,4,5,2A,30,0.537,1.835113199,1.454506621,590
AB,HOK,HOK,SEK,2,4,5,2B,30,0.846,2.891072191,2.510465613,590
P,SEK,HOK,SEK,2,4,5,2C,30,0.72,2.460486971,2.079880393,590
AB,SEK,HOK,SEK,2,4,5,2D,30,0.409,1.397693293,1.017086715,590
P,SEK,SEK,SEK,2,4,5,2E,30,0.425,1.452370782,1.071764203,590
AB,SEK,SEK,SEK,2,4,5,2F,30,0.367,1.254164887,0.873558308,590
P,HOK,SEK,SEK,2,4,5,2G,30,1.153,3.940196497,3.559589919,590
AB,HOK,SEK,SEK,2,4,5,2H,30,0.428,1.462622811,1.082016232,590
P,HOK,HOK,SEK,2,3,5,3A,30,0.384,1.312259718,0.93165314,590
AB,HOK,HOK,SEK,2,3,5,3B,30,0.598,2.043571123,1.662964545,590
P,SEK,HOK,SEK,2,3,5,3C,30,1.661,5.676206749,5.295600171,590
AB,SEK,HOK,SEK,2,3,5,3D,30,0.283,0.967108074,0.586501495,590
P,SEK,SEK,SEK,2,3,5,3E,30,0.967,3.304570696,2.923964118,590
AB,SEK,SEK,SEK,2,3,5,3F,30,0.374,1.278086288,0.89747971,590
P,HOK,SEK,SEK,2,3,5,3G,30,0.357,1.219991457,0.839384878,590
AB,HOK,SEK,SEK,2,3,5,3H,30,0.387,1.322511747,0.941905169,590
P,HOK,HOK,SEK,2,2,5,4A,30,0.427,1.459205468,1.078598889,590
AB,HOK,HOK,SEK,2,2,5,4B,30,0.725,2.477573686,2.096967108,590
P,SEK,HOK,SEK,2,2,5,4C,30,0.509,1.739427595,1.358821017,590
AB,SEK,HOK,SEK,2,2,5,4D,30,1.189,4.063220846,3.682614267,590
P,SEK,SEK,SEK,2,2,5,4E,30,1.395,4.767193507,4.386586929,590
AB,SEK,SEK,SEK,2,2,5,4F,30,0.422,1.442118753,1.061512174,590
P,HOK,SEK,SEK,2,2,5,4G,30,0.973,3.325074754,2.944468176,590
AB,HOK,SEK,SEK,2,2,5,4H,30,0.39,1.332763776,0.952157198,590
P,HOK,HOK,SEK,2,1,5,5A,30,1.567,5.354976506,4.974369927,590
AB,HOK,HOK,SEK,2,1,5,5B,30,1.165,3.981204613,3.600598035,590
P,SEK,HOK,SEK,2,1,5,5C,30,1.117,3.817172149,3.43656557,590
AB,SEK,HOK,SEK,2,1,5,5D,30,1.013,3.461768475,3.081161897,590
P,SEK,SEK,SEK,2,1,5,5E,30,1.767,6.038445109,5.657838531,590
AB,SEK,SEK,SEK,2,1,5,5F,30,1.67,5.706962836,5.326356258,590
P,HOK,SEK,SEK,2,1,5,5G,30,0.595,2.033319094,1.652712516,590
AB,HOK,SEK,SEK,2,1,5,5H,30,1.781,6.086287911,5.705681333,590
P,HOK,HOK,HOK,2,5,5,6A,30,1.487,5.081589065,4.700982486,590
AB,HOK,HOK,HOK,2,5,5,6B,30,0.431,1.47287484,1.092268261,590
P,SEK,HOK,HOK,2,5,5,6C,30,0.94,3.212302435,2.831695856,590
AB,SEK,HOK,HOK,2,5,5,6D,30,0.49,1.674498078,1.293891499,590
P,SEK,SEK,HOK,2,5,5,6E,30,1.588,5.426740709,5.046134131,590
AB,SEK,SEK,HOK,2,5,5,6F,30,1.411,4.821870995,4.441264417,590
P,HOK,SEK,HOK,2,5,5,6G,30,1.158,3.957283212,3.576676634,590
AB,HOK,SEK,HOK,2,5,5,6H,30,1.579,5.395984622,5.015378044,590
