date,hours,time,temp_c,light_lux
06/24/2023 00:00:00,8:44:32,AM,14.71,71.24
06/24/2023 00:00:00,9:44:32,AM,18.40,2790.40
06/24/2023 00:00:00,10:44:32,AM,17.46,7961.60
06/24/2023 00:00:00,11:44:32,AM,15.83,5936.64
06/24/2023 00:00:00,12:44:32,PM,16.56,12467.20
06/24/2023 00:00:00,1:44:32,PM,17.37,12984.32
06/24/2023 00:00:00,2:44:32,PM,17.46,6661.12
06/24/2023 00:00:00,3:44:32,PM,16.86,1629.44
06/24/2023 00:00:00,4:44:32,PM,17.16,1199.04
06/24/2023 00:00:00,5:44:32,PM,17.54,960.96
06/24/2023 00:00:00,6:44:32,PM,17.80,848.00
06/24/2023 00:00:00,7:44:32,PM,17.80,906.24
06/24/2023 00:00:00,8:44:32,PM,17.67,145.60
06/24/2023 00:00:00,9:44:32,PM,17.33,1.87
06/24/2023 00:00:00,10:44:32,PM,17.03,0.00
06/24/2023 00:00:00,11:44:32,PM,16.81,0.00
06/25/2023 00:00:00,12:44:32,AM,16.56,0.00
06/25/2023 00:00:00,1:44:32,AM,16.43,0.00
06/25/2023 00:00:00,2:44:32,AM,16.21,0.00
06/25/2023 00:00:00,3:44:32,AM,16.04,0.00
06/25/2023 00:00:00,4:44:32,AM,15.83,0.62
06/25/2023 00:00:00,5:44:32,AM,15.61,318.08
06/25/2023 00:00:00,6:44:32,AM,15.57,1204.16
06/25/2023 00:00:00,7:44:32,AM,15.44,2423.04
06/25/2023 00:00:00,8:44:32,AM,15.66,4400.64
06/25/2023 00:00:00,9:44:32,AM,16.56,27381.76
06/25/2023 00:00:00,10:44:32,AM,17.03,25364.48
06/25/2023 00:00:00,11:44:32,AM,17.59,20648.96
06/25/2023 00:00:00,12:44:32,PM,18.02,14520.32
06/25/2023 00:00:00,1:44:32,PM,19.17,19906.56
06/25/2023 00:00:00,2:44:32,PM,18.87,12800.00
06/25/2023 00:00:00,3:44:32,PM,17.67,1068.48
06/25/2023 00:00:00,4:44:32,PM,18.14,1231.68
06/25/2023 00:00:00,5:44:32,PM,18.40,481.76
06/25/2023 00:00:00,6:44:32,PM,18.57,387.04
06/25/2023 00:00:00,7:44:32,PM,18.66,255.04
06/25/2023 00:00:00,8:44:32,PM,18.49,112.00
06/25/2023 00:00:00,9:44:32,PM,18.10,1.04
06/25/2023 00:00:00,10:44:32,PM,17.63,0.00
06/25/2023 00:00:00,11:44:32,PM,17.29,0.00
06/26/2023 00:00:00,12:44:32,AM,17.07,0.00
06/26/2023 00:00:00,1:44:32,AM,16.77,0.00
06/26/2023 00:00:00,2:44:32,AM,16.56,0.00
06/26/2023 00:00:00,3:44:32,AM,16.39,0.00
06/26/2023 00:00:00,4:44:32,AM,16.21,0.00
06/26/2023 00:00:00,5:44:32,AM,16.04,77.70
06/26/2023 00:00:00,6:44:32,AM,15.87,325.60
06/26/2023 00:00:00,7:44:32,AM,15.78,648.64
06/26/2023 00:00:00,8:44:32,AM,15.74,1210.88
06/26/2023 00:00:00,9:44:32,AM,15.87,1666.56
06/26/2023 00:00:00,10:44:32,AM,16.17,3096.32
06/26/2023 00:00:00,11:44:32,AM,16.81,4876.80
