date,hours,time,temp_c,light_lux
06/24/2023 00:00:00,8:45:16,AM,16.47,77.28
06/24/2023 00:00:00,9:45:16,AM,21.36,0.00
06/24/2023 00:00:00,10:45:16,AM,14.45,721.28
06/24/2023 00:00:00,11:45:16,AM,16.08,15262.72
06/24/2023 00:00:00,12:45:16,PM,15.91,597.76
06/24/2023 00:00:00,1:45:16,PM,16.56,845.76
06/24/2023 00:00:00,2:45:16,PM,17.50,1464.96
06/24/2023 00:00:00,3:45:16,PM,17.89,2057.60
06/24/2023 00:00:00,4:45:16,PM,17.76,148.20
06/24/2023 00:00:00,5:45:16,PM,17.29,175.20
06/24/2023 00:00:00,6:45:16,PM,16.56,103.24
06/24/2023 00:00:00,7:45:16,PM,16.13,50.78
06/24/2023 00:00:00,8:45:16,PM,15.87,8.96
06/24/2023 00:00:00,9:45:16,PM,15.70,0.00
06/24/2023 00:00:00,10:45:16,PM,15.40,0.00
06/24/2023 00:00:00,11:45:16,PM,15.27,0.00
06/25/2023 00:00:00,12:45:16,AM,15.10,0.00
06/25/2023 00:00:00,1:45:16,AM,14.97,0.00
06/25/2023 00:00:00,2:45:16,AM,14.75,0.00
06/25/2023 00:00:00,3:45:16,AM,14.45,0.00
06/25/2023 00:00:00,4:45:16,AM,14.20,0.00
06/25/2023 00:00:00,5:45:16,AM,13.90,7.92
06/25/2023 00:00:00,6:45:16,AM,13.85,23.46
06/25/2023 00:00:00,7:45:16,AM,13.73,61.26
06/25/2023 00:00:00,8:45:16,AM,13.98,312.40
06/25/2023 00:00:00,9:45:16,AM,14.37,133.80
06/25/2023 00:00:00,10:45:16,AM,14.58,562.24
06/25/2023 00:00:00,11:45:16,AM,15.53,2399.36
06/25/2023 00:00:00,12:45:16,PM,16.00,1653.12
06/25/2023 00:00:00,1:45:16,PM,16.90,1259.84
06/25/2023 00:00:00,2:45:16,PM,17.46,1606.40
06/25/2023 00:00:00,3:45:16,PM,17.80,177.04
06/25/2023 00:00:00,4:45:16,PM,17.97,97.40
06/25/2023 00:00:00,5:45:16,PM,17.63,90.72
06/25/2023 00:00:00,6:45:16,PM,16.94,60.44
06/25/2023 00:00:00,7:45:16,PM,16.39,28.42
06/25/2023 00:00:00,8:45:16,PM,16.08,11.26
06/25/2023 00:00:00,9:45:16,PM,15.83,0.00
06/25/2023 00:00:00,10:45:16,PM,15.61,0.00
06/25/2023 00:00:00,11:45:16,PM,15.36,0.00
06/26/2023 00:00:00,12:45:16,AM,15.14,0.00
06/26/2023 00:00:00,1:45:16,AM,14.93,0.00
06/26/2023 00:00:00,2:45:16,AM,14.63,0.00
06/26/2023 00:00:00,3:45:16,AM,14.41,0.00
06/26/2023 00:00:00,4:45:16,AM,14.07,0.00
06/26/2023 00:00:00,5:45:16,AM,13.85,7.71
06/26/2023 00:00:00,6:45:16,AM,13.73,33.06
06/26/2023 00:00:00,7:45:16,AM,13.73,80.62
06/26/2023 00:00:00,8:45:16,AM,13.81,153.52
06/26/2023 00:00:00,9:45:16,AM,14.33,221.68
06/26/2023 00:00:00,10:45:16,AM,14.80,329.92
06/26/2023 00:00:00,11:45:16,AM,15.83,2471.04
06/26/2023 00:00:00,12:45:16,PM,16.21,1369.60
06/26/2023 00:00:00,1:45:16,PM,16.99,1224.64
06/26/2023 00:00:00,2:45:16,PM,17.63,1243.52
06/26/2023 00:00:00,3:45:16,PM,18.10,282.00
06/26/2023 00:00:00,4:45:16,PM,18.10,144.24
06/26/2023 00:00:00,5:45:16,PM,17.67,94.88
06/26/2023 00:00:00,6:45:16,PM,16.99,68.82
06/26/2023 00:00:00,7:45:16,PM,16.51,33.47
06/26/2023 00:00:00,8:45:16,PM,16.00,13.37
06/26/2023 00:00:00,9:45:16,PM,15.91,0.00
06/26/2023 00:00:00,10:45:16,PM,15.70,0.00
06/26/2023 00:00:00,11:45:16,PM,15.44,0.00
06/27/2023 00:00:00,12:45:16,AM,15.27,0.00
06/27/2023 00:00:00,1:45:16,AM,15.10,0.00
06/27/2023 00:00:00,2:45:16,AM,14.93,0.00
06/27/2023 00:00:00,3:45:16,AM,14.71,0.00
06/27/2023 00:00:00,4:45:16,AM,14.50,0.00
06/27/2023 00:00:00,5:45:16,AM,14.37,6.46
06/27/2023 00:00:00,6:45:16,AM,14.15,31.39
06/27/2023 00:00:00,7:45:16,AM,14.15,64.92
06/27/2023 00:00:00,8:45:16,AM,14.45,111.56
06/27/2023 00:00:00,9:45:16,AM,14.50,676.80
06/27/2023 00:00:00,10:45:16,AM,14.97,314.72
06/27/2023 00:00:00,11:45:16,AM,15.96,3797.76
06/27/2023 00:00:00,12:45:16,PM,16.51,2291.20
06/27/2023 00:00:00,1:45:16,PM,17.33,1471.36
06/27/2023 00:00:00,2:45:16,PM,17.97,770.88
